dateTime,day,small_area,weather_forecast_type,hour,Accident,count
2022-07-06 02:00:00,2,Boon Lay,Cloudy,2,L,0
2022-07-06 02:00:00,2,Bukit Batok,Cloudy,2,L,0
2022-07-06 02:00:00,2,Bukit Merah,Cloudy,2,L,0
2022-07-06 02:00:00,2,Bukit Panjang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Bukit Timah,Cloudy,2,L,0
2022-07-06 02:00:00,2,Central Water Catchment,Cloudy,2,L,0
2022-07-06 02:00:00,2,Changi,Cloudy,2,L,0
2022-07-06 02:00:00,2,Choa Chu Kang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Clementi,Cloudy,2,L,0
2022-07-06 02:00:00,2,City,Cloudy,2,L,0
2022-07-06 02:00:00,2,Geylang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Hougang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Jalan Bahar,Cloudy,2,L,0
2022-07-06 02:00:00,2,Jurong East,Cloudy,2,L,0
2022-07-06 02:00:00,2,Jurong Island,Cloudy,2,L,0
2022-07-06 02:00:00,2,Jurong West,Cloudy,2,L,0
2022-07-06 02:00:00,2,Kallang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Lim Chu Kang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Mandai,Cloudy,2,L,0
2022-07-06 02:00:00,2,Marine Parade,Cloudy,2,L,0
2022-07-06 02:00:00,2,Novena,Cloudy,2,L,0
2022-07-06 02:00:00,2,Pasir Ris,Cloudy,2,L,0
2022-07-06 02:00:00,2,Paya Lebar,Cloudy,2,L,0
2022-07-06 02:00:00,2,Pioneer,Cloudy,2,L,0
2022-07-06 02:00:00,2,Pulau Tekong,Cloudy,2,L,0
2022-07-06 02:00:00,2,Pulau Ubin,Cloudy,2,L,0
2022-07-06 02:00:00,2,Punggol,Cloudy,2,L,0
2022-07-06 02:00:00,2,Queenstown,Cloudy,2,L,0
2022-07-06 02:00:00,2,Seletar,Cloudy,2,L,0
2022-07-06 02:00:00,2,Sembawang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Sengkang,Cloudy,2,L,0
2022-07-06 02:00:00,2,Sentosa,Cloudy,2,L,0
2022-07-06 02:00:00,2,Serangoon,Cloudy,2,L,0
2022-07-06 02:00:00,2,Southern Islands,Cloudy,2,L,0
2022-07-06 02:00:00,2,Sungei Kadut,Cloudy,2,L,0
2022-07-06 02:00:00,2,Tampines,Cloudy,2,L,0
2022-07-06 02:00:00,2,Tanglin,Cloudy,2,L,0
2022-07-06 02:00:00,2,Tengah,Cloudy,2,L,0
2022-07-06 02:00:00,2,Toa Payoh,Cloudy,2,L,0
2022-07-06 02:00:00,2,Tuas,Cloudy,2,L,0
2022-07-06 02:00:00,2,Western Islands,Cloudy,2,L,0
2022-07-06 02:00:00,2,Western Water Catchment,Cloudy,2,L,0
2022-07-06 02:00:00,2,Woodlands,Cloudy,2,L,0
2022-07-06 02:00:00,2,Yishun,Cloudy,2,L,0
2022-07-06 03:00:00,2,Ang Mo Kio,Rain,3,L,0
2022-07-06 03:00:00,2,Bedok,Rain,3,L,0
2022-07-06 03:00:00,2,Bishan,Rain,3,L,0
2022-07-06 03:00:00,2,Boon Lay,Rain,3,L,0
2022-07-06 03:00:00,2,Bukit Batok,Rain,3,L,0
2022-07-06 03:00:00,2,Bukit Merah,Rain,3,L,0
2022-07-06 03:00:00,2,Bukit Panjang,Rain,3,L,0
2022-07-06 03:00:00,2,Bukit Timah,Rain,3,L,0
2022-07-06 03:00:00,2,Central Water Catchment,Rain,3,L,0
2022-07-06 03:00:00,2,Changi,Rain,3,L,0
2022-07-06 03:00:00,2,Choa Chu Kang,Rain,3,L,0
2022-07-06 03:00:00,2,Clementi,Rain,3,L,0
2022-07-06 03:00:00,2,City,Rain,3,L,0
2022-07-06 03:00:00,2,Geylang,Rain,3,L,0
2022-07-06 03:00:00,2,Hougang,Rain,3,L,0
2022-07-06 03:00:00,2,Jalan Bahar,Rain,3,L,0
2022-07-06 03:00:00,2,Jurong East,Rain,3,L,0
2022-07-06 03:00:00,2,Jurong Island,Rain,3,L,0
2022-07-06 03:00:00,2,Jurong West,Rain,3,L,0
2022-07-06 03:00:00,2,Kallang,Rain,3,L,0
2022-07-06 03:00:00,2,Lim Chu Kang,Rain,3,L,0
2022-07-06 03:00:00,2,Mandai,Rain,3,L,0
2022-07-06 03:00:00,2,Marine Parade,Rain,3,L,0
2022-07-06 03:00:00,2,Novena,Rain,3,L,0
2022-07-06 03:00:00,2,Pasir Ris,Rain,3,L,0
2022-07-06 03:00:00,2,Paya Lebar,Rain,3,L,0
2022-07-06 03:00:00,2,Pioneer,Rain,3,L,0
2022-07-06 03:00:00,2,Pulau Tekong,Rain,3,L,0
2022-07-06 03:00:00,2,Pulau Ubin,Rain,3,L,0
2022-07-06 03:00:00,2,Punggol,Rain,3,L,0
2022-07-06 03:00:00,2,Queenstown,Rain,3,L,0
2022-07-06 03:00:00,2,Seletar,Rain,3,L,0
2022-07-06 03:00:00,2,Sembawang,Rain,3,L,0
2022-07-06 03:00:00,2,Sengkang,Rain,3,L,0
2022-07-06 03:00:00,2,Sentosa,Rain,3,L,0
2022-07-06 03:00:00,2,Serangoon,Rain,3,L,0
2022-07-06 03:00:00,2,Southern Islands,Rain,3,L,0
2022-07-06 03:00:00,2,Sungei Kadut,Rain,3,L,0
2022-07-06 03:00:00,2,Tampines,Rain,3,L,0
2022-07-06 03:00:00,2,Tanglin,Rain,3,L,0
2022-07-06 03:00:00,2,Tengah,Rain,3,L,0
2022-07-06 03:00:00,2,Toa Payoh,Rain,3,L,0
2022-07-06 03:00:00,2,Tuas,Rain,3,L,0
2022-07-06 03:00:00,2,Western Islands,Rain,3,L,0
2022-07-06 03:00:00,2,Western Water Catchment,Rain,3,L,0
2022-07-06 03:00:00,2,Woodlands,Rain,3,L,0
2022-07-06 03:00:00,2,Yishun,Rain,3,L,0
2022-07-06 04:00:00,2,Ang Mo Kio,Rain,4,L,0
